simTime,robotId,itemId,itemImportance,position,destination,event
119.12418155349833,-1,0,0,0,69,create
119.12418155349833,8,0,0,0,69,startLoading
126.65365505833117,8,0,0,1,69,move
132.39081924069157,8,0,0,2,69,move
141.58519331772473,8,0,0,3,69,move
142.4992882683144,8,0,0,4,69,move
148.87780035121145,8,0,0,47,69,move
151.32118315159428,8,0,0,50,69,move
160.1377004463457,8,0,0,51,69,move
164.52070484038487,8,0,0,52,69,move
164.71724892038867,8,0,0,19,69,move
168.5525370013468,8,0,0,20,69,move
169.77133150502695,8,0,0,21,69,move
172.6267490759263,8,0,0,22,69,move
172.6267490759263,8,0,0,22,69,fail
172.6267490759263,8,0,0,22,69,drop
172.6267490759263,8,-1,-1,22,0,help
172.6267490759263,4,-1,-1,0,0,rescue
173.11929373795854,4,-1,-1,1,22,move
173.11929373795854,4,-1,-1,1,22,fakeFailure
173.11929373795854,6,-1,-1,0,0,rescue
174.55627768176495,6,-1,-1,1,1,move
174.55627768176495,6,-1,-1,1,1,fail
195.7180774370214,4,-1,-1,2,22,move
195.7180774370214,4,-1,-1,2,22,fail
374.71510550145865,-1,1,0,0,47,create
374.71510550145865,5,1,0,0,47,startLoading
381.50538343567104,5,1,0,1,47,move
392.4544938673974,5,1,0,2,47,move
397.41394991383754,5,1,0,3,47,move
399.76168906734273,-1,2,0,0,49,create
399.76168906734273,0,2,0,0,49,startLoading
402.99444072207285,0,2,0,1,49,move
402.99444072207285,0,2,0,1,49,fakeFailure
402.99444072207285,2,-1,-1,0,0,rescue
408.3297628989451,2,-1,-1,1,1,move
408.3297628989451,2,-1,-1,1,1,fail
408.85109916102317,5,1,0,4,47,move
412.02777790319385,0,2,0,2,49,move
412.02777790319385,0,2,0,2,49,fakeFailure
412.02777790319385,3,-1,-1,0,0,rescue
414.93472475627664,0,2,0,3,49,move
414.93472475627664,0,2,0,3,49,fakeFailure
414.93472475627664,3,-1,-1,0,2,rescue
415.32029069962664,3,-1,-1,1,3,move
415.32029069962664,3,-1,-1,1,3,fakeFailure
415.32029069962664,7,-1,-1,0,0,rescue
416.15685001810783,5,1,0,47,47,move
416.15685001810783,5,1,0,47,47,deliver
416.705285871983,0,2,0,4,49,move
416.705285871983,0,2,0,4,49,fakeFailure
416.705285871983,5,-1,-1,47,0,rescue
419.46152396769287,3,-1,-1,2,3,move
419.46152396769287,3,-1,-1,2,3,fakeFailure
419.46152396769287,1,-1,-1,0,0,rescue
420.0841439179212,0,2,0,47,49,move
420.0841439179212,0,2,0,47,49,fakeFailure
420.0841439179212,5,-1,-1,47,0,rescue
420.7563436892884,5,-1,-1,4,0,move
421.00232946761946,7,-1,-1,1,1,move
422.32788584219924,7,-1,-1,0,0,move
422.33956553483256,5,-1,-1,3,0,move
422.3983095768882,5,-1,-1,2,0,move
422.7057806934645,1,-1,-1,1,2,move
422.7057806934645,1,-1,-1,1,2,fakeFailure
422.7057806934645,9,-1,-1,0,0,rescue
423.8086147882282,9,-1,-1,1,1,move
423.8086147882282,9,-1,-1,1,1,fail
424.6735997598336,5,-1,-1,1,0,move
431.9575882849775,5,-1,-1,0,0,move
434.44616469176265,0,2,0,48,49,move
434.44616469176265,0,2,0,48,49,fakeFailure
434.44616469176265,3,-1,-1,2,3,rescue
435.4718897317684,3,-1,-1,3,48,move
435.4718897317684,3,-1,-1,3,48,fakeFailure
435.4718897317684,1,-1,-1,1,2,rescue
435.99782955170747,3,-1,-1,4,48,move
435.99782955170747,3,-1,-1,4,48,fakeFailure
435.99782955170747,1,-1,-1,1,3,rescue
436.8890246704801,0,2,0,49,49,move
436.8890246704801,0,2,0,49,49,deliver
436.8890246704801,0,-1,-1,49,0,fakeFailure
436.8890246704801,3,-1,-1,4,48,rescue
437.2662678481671,1,-1,-1,2,4,move
437.2662678481671,1,-1,-1,2,4,fail
444.80736081277377,3,-1,-1,47,49,move
444.80736081277377,3,-1,-1,47,49,fail
448.6783026401321,0,-1,-1,48,0,move
448.87432177982384,0,-1,-1,47,0,move
448.87432177982384,0,-1,-1,47,0,fakeFailure
448.87432177982384,5,-1,-1,0,0,rescue
450.29290291658094,5,-1,-1,1,47,move
450.46637074056457,5,-1,-1,2,47,move
450.46637074056457,5,-1,-1,2,47,fail
451.38287726606677,0,-1,-1,4,0,move
451.38287726606677,0,-1,-1,4,0,fakeFailure
451.38287726606677,7,-1,-1,0,0,rescue
452.78597835554547,7,-1,-1,1,4,move
457.356424081795,7,-1,-1,2,4,move
458.06854372771727,7,-1,-1,3,4,move
458.4197110260122,7,-1,-1,4,4,move
461.0686633931341,7,-1,-1,3,0,move
461.390651285772,7,-1,-1,2,0,move
467.13125690546275,0,-1,-1,3,0,move
467.13125690546275,0,-1,-1,3,0,fakeFailure
467.13125690546275,7,-1,-1,2,0,rescue
468.6276656391121,0,-1,-1,2,0,move
468.6276656391121,0,-1,-1,2,0,fail
469.4907347749736,7,-1,-1,3,3,move
472.56710670185294,7,-1,-1,2,0,move
473.8879890636395,7,-1,-1,1,0,move
478.69030417883084,7,-1,-1,0,0,move
547.6762422333052,-1,3,2,0,39,create
547.6762422333052,7,3,2,0,39,startLoading
552.9462991730516,7,3,2,1,39,move
554.8258100677743,7,3,2,2,39,move
555.8017644266763,7,3,2,3,39,move
555.8017644266763,7,3,2,3,39,fail
555.8017644266763,7,3,2,3,39,drop
555.8017644266763,7,-1,-1,3,0,help
572.6704751919353,-1,4,0,0,61,create
608.9727040121676,-1,5,2,0,58,create
649.2168635668243,-1,6,0,0,1,create
705.1892011062276,-1,7,2,0,25,create
850.1122039219961,6,-1,-1,0,0,recover
850.1122039219961,6,5,2,0,58,startLoading
852.0519697382103,6,5,2,1,58,move
860.3372149541241,6,5,2,2,58,move
860.4379487673423,6,5,2,3,58,move
870.7873789076544,6,5,2,4,58,move
876.8803959918001,6,5,2,5,58,move
883.774762328767,6,5,2,6,58,move
884.6664954277846,0,-1,-1,0,0,recover
884.6664954277846,0,7,2,0,25,startLoading
885.7391192787609,6,5,2,7,58,move
886.5688003114428,5,-1,-1,0,0,recover
886.5688003114428,5,4,0,0,61,startLoading
887.2340013038025,6,5,2,8,58,move
888.3591761506264,-1,8,0,0,7,create
891.3118608991155,5,4,0,1,61,move
893.9883558576774,0,7,2,1,25,move
893.9883558576774,0,7,2,1,25,fakeFailure
893.9883558576774,5,4,0,1,61,rescue
895.5747549534906,0,7,2,2,25,move
896.9291163599872,6,5,2,9,58,move
898.6578437363924,5,4,0,2,61,move
900.7948772964105,5,4,0,3,61,move
900.7948772964105,5,4,0,3,61,drop
900.7948772964105,5,3,2,3,39,startLoading
907.7144017143548,0,7,2,25,25,move
907.7144017143548,0,7,2,25,25,deliver
908.5501883353634,5,3,2,4,39,move
909.5284901146829,0,-1,-1,2,0,move
909.5284901146829,0,-1,-1,2,0,fakeFailure
909.5284901146829,5,3,2,4,39,rescue
909.5284901146829,5,3,2,4,39,drop
911.8359779282864,0,-1,-1,1,0,move
911.8359779282864,0,-1,-1,1,0,fakeFailure
911.8359779282864,5,-1,-1,4,2,rescue
915.49708839311,5,-1,-1,3,1,move
916.0951004782793,5,-1,-1,4,1,move
916.0951004782793,5,-1,-1,4,1,fail
916.3067245096081,0,-1,-1,0,0,move
916.3067245096081,0,6,0,0,1,startLoading
916.3067245096081,0,6,0,0,1,fakeFailure
916.3067245096081,6,5,2,9,58,rescue
916.3067245096081,6,5,2,9,58,drop
920.3797302257917,0,6,0,1,1,move
920.3797302257917,0,6,0,1,1,deliver
925.680833816924,0,-1,-1,0,0,move
925.680833816924,0,8,0,0,7,startLoading
935.4285700590948,6,-1,-1,8,0,move
935.4285700590948,6,-1,-1,8,0,fail
937.0158987124177,0,8,0,1,7,move
937.0158987124177,0,8,0,1,7,fakeFailure
946.1143228999105,0,8,0,2,7,move
946.1143228999105,0,8,0,2,7,fakeFailure
952.9027970556455,0,8,0,3,7,move
952.9027970556455,0,8,0,3,7,fail
952.9027970556455,0,8,0,3,7,drop
952.9027970556455,0,-1,-1,3,0,help
1056.1845146419073,-1,9,1,0,35,create
1095.155548922608,1,-1,-1,0,0,recover
1095.155548922608,1,9,1,0,35,startLoading
1102.1884229729144,1,9,1,1,35,move
1102.1884229729144,1,9,1,1,35,fakeFailure
1102.7708719679242,1,9,1,2,35,move
1102.7708719679242,1,9,1,2,35,fail
1102.7708719679242,1,9,1,2,35,drop
1102.7708719679242,1,-1,-1,2,0,help
1285.9290033077264,2,-1,-1,0,0,recover
1409.8889033095459,3,-1,-1,0,0,recover
1471.6056488840723,-1,10,2,0,48,create
1471.6056488840723,2,10,2,0,48,startLoading
1487.1476135194746,2,10,2,1,48,move
1487.1476135194746,2,10,2,1,48,fakeFailure
1487.1476135194746,3,-1,-1,0,0,rescue
1489.885768443736,3,-1,-1,1,1,move
1489.885768443736,3,-1,-1,1,0,fakeFailure
1489.885768443736,2,10,2,1,48,rescue
1490.6828970230215,3,-1,-1,0,0,move
1490.6828970230215,3,-1,-1,0,0,fakeFailure
1490.6828970230215,2,10,2,1,48,rescue
1490.6828970230215,2,10,2,1,48,drop
1491.7542567475343,2,-1,-1,0,0,move
1491.7542567475343,2,-1,-1,0,0,fakeFailure
1491.7542567475343,3,-1,-1,0,0,rescue
1508.138609336577,2,-1,-1,1,0,move
1508.138609336577,2,10,2,1,48,startLoading
1508.138609336577,2,10,2,1,48,fakeFailure
1508.138609336577,3,-1,-1,0,0,rescue
1511.2664024999501,3,-1,-1,1,1,move
1511.2664024999501,3,-1,-1,1,0,fakeFailure
1511.2664024999501,2,10,2,1,48,rescue
1515.2733140990686,3,-1,-1,0,0,move
1515.2733140990686,3,-1,-1,0,0,fakeFailure
1515.2733140990686,2,10,2,1,48,rescue
1515.2733140990686,2,10,2,1,48,drop
1516.2971004572423,2,-1,-1,0,0,move
1516.2971004572423,2,-1,-1,0,0,fail
1553.870900539353,2,-1,-1,0,0,recover
1612.2301431867293,-1,11,0,0,41,create
1612.2301431867293,3,11,0,0,41,startLoading
1614.3139705678373,3,11,0,1,41,move
1614.3139705678373,3,11,0,1,41,drop
1614.3139705678373,3,10,2,1,48,startLoading
1614.3139705678373,3,10,2,1,48,fakeFailure
1614.3139705678373,2,-1,-1,0,0,rescue
1617.0679262671395,2,-1,-1,1,1,move
1617.0679262671395,2,11,0,1,41,startLoading
1617.0679262671395,2,11,0,1,41,fakeFailure
1617.0679262671395,3,10,2,1,48,rescue
