Activity,Support,Accuracy,Precision,Recall,F1
Take in charge ticket,1005,0.913536076326774,0.8440808469681574,0.8726368159203112,0.8581213306740003
Resolve ticket,957,0.8449612403100775,0.6719118804090738,0.8923719958201783,0.7666068222130428
Closed,946,0.9782349433512224,0.9292035398229175,0.9989429175474631,0.9628120223646387
Wait,304,0.9093619558735838,0.499999999975,0.0032894736842094445,0.006535947711115384
Assign seriousness,101,0.9734645199761479,0.8333333333287037,0.14851485148500146,0.2521008403100346
Require upgrade,19,0.9946332737030411,0.9999999999,0.05263157894709142,0.0999999999895
Create SW anomaly,17,0.9940369707811568,0.0,0.0,0.0
Resolve SW anomaly,2,0.9991055456171736,0.0,0.0,0.0
INVALID,1,0.9997018485390579,0.499999999975,0.9999999999,0.6666666665777777
Schedule intervention,1,0.9997018485390579,0.0,0.0,0.0
VERIFIED,1,0.9997018485390579,0.0,0.0,0.0
