activity_output_Next_Activity_Accuracy,activity_output_loss,loss,time_to_end_output_Remaining_Time_MAE,time_to_end_output_loss,time_to_next_output_Next_Activity_Time_MAE,time_to_next_output_loss,val_activity_output_Next_Activity_Accuracy,val_activity_output_loss,val_loss,val_time_to_end_output_Remaining_Time_MAE,val_time_to_end_output_loss,val_time_to_next_output_Next_Activity_Time_MAE,val_time_to_next_output_loss
0.42055726051330566,1.3427034616470337,600.573974609375,363.62237548828125,363.1598205566406,235.60728454589844,235.5892333984375,0.5508759021759033,1.0407087802886963,409.413330078125,184.22940063476562,184.3193359375,224.14356994628906,224.1651153564453
0.5265119671821594,1.125181794166565,433.59527587890625,206.4675750732422,206.5299530029297,226.0020294189453,226.0640106201172,0.5050317049026489,1.035705804824829,433.9109191894531,205.944580078125,205.9722900390625,226.9307861328125,226.97061157226562
0.7006802558898926,0.8434704542160034,438.4240417480469,211.00706481933594,210.84507751464844,226.57244873046875,226.3585205078125,0.7759970426559448,0.7429474592208862,431.2384033203125,207.1503143310547,207.1527557373047,223.34500122070312,223.38650512695312
0.7811014652252197,0.7081729173660278,383.55804443359375,183.1899871826172,183.08445739746094,199.6593017578125,199.46536254882812,0.7882966995239258,0.6625383496284485,346.9253234863281,172.02288818359375,172.04489135742188,174.2398681640625,174.25027465820312
0.7841767072677612,0.6928197741508484,348.5478210449219,174.73660278320312,174.70529174804688,173.11837768554688,173.04962158203125,0.7879239916801453,0.6868570446968079,339.11492919921875,171.20645141601562,171.2207794189453,167.2216796875,167.23280334472656
0.7853881120681763,0.6867350339889526,344.2972717285156,173.97804260253906,173.78472900390625,169.63255310058594,169.41786193847656,0.7886694073677063,0.6514239311218262,336.8174743652344,171.06227111816406,171.08396911621094,165.10385131835938,165.11085510253906
0.784922182559967,0.6797614097595215,343.5063171386719,173.7724151611328,173.78826904296875,169.05511474609375,168.91287231445312,0.7897875308990479,0.6550837755203247,336.05810546875,170.91116333007812,170.9375457763672,164.49185180664062,164.49871826171875
0.7868791222572327,0.673948347568512,342.0055236816406,173.35317993164062,173.33035278320312,167.97752380371094,167.89862060546875,0.7905330061912537,0.6475110054016113,335.5279235839844,170.5204620361328,170.53378295898438,164.3599090576172,164.36892700195312
0.7874382734298706,0.6690096259117126,341.0745849609375,173.40272521972656,173.4685821533203,167.0024871826172,166.97250366210938,0.7879239916801453,0.6582578420639038,350.5012512207031,180.78091430664062,180.83006286621094,169.0621795654297,169.07276916503906
0.7847357988357544,0.6770419478416443,348.9311218261719,179.70896911621094,179.52035522460938,168.5443572998047,168.48056030273438,0.7890421152114868,0.6500956416130066,336.7706298828125,170.97872924804688,170.99420166015625,165.14190673828125,165.15573120117188
