Unnamed: 0,mech,topology,nb,nm,a,r,fp,f0_mean,f0_median,f0_q1,f0_q2,f1_mean,f1_median,f1_q1,f1_q2
0,centralizedimpprox,GUH73,40,40,120,43200,0.1,-16.25299958023489,18.69717450256576,-23.450112454098416,20.0,-1777.7998100448901,-236.88192581682233,-1758.1088966404204,3.8314639553427696
1,centralizedimpprox,GUH73,40,0,120,43200,0.1,19.740276890303516,20.0,20.0,20.0,-662.6716049998288,-3.2943752229912207,-511.57091934653,14.746394393238006
2,centralizedimpprox,GUH73,10,10,120,43200,0.1,-179962.23269367905,-570.7555572820129,-2032.54410083915,-201.28003728769545,-44551.411805111245,-1507.1709553769324,-9772.423562419226,6.431620352552272
4,centralizedimpprox,GUH73,20,10,120,43200,0.1,-400.5490427168667,-108.73489086522022,-424.0849487961241,-1.8888811443612212,-49309.65009571692,-697.8810474146158,-8274.976604276628,5.191927389074408
5,centralizedimpprox,GUH73,10,0,120,43200,0.1,-220243.05260760267,-557.783448766917,-55928.890259318825,-178.37273019296117,-38656.51885835265,-649.8545523020439,-5661.443444277276,9.416583063779399
6,centralizedimpprox,GUH73,20,20,120,43200,0.1,-926.058577565032,-202.59544421144528,-1093.1703638923354,-41.797548245987855,-95591.68986613964,-1215.9155095764436,-18478.46184257084,-12.356410520034842
7,centralizedimpprox,GUH73,10,5,120,43200,0.1,-203809.41797574548,-573.6824923213717,-3532.833867593319,-188.53512800694443,-25322.083704864544,-1017.6310160460416,-7246.668810463976,7.967495734395925
8,centralizedimpprox,GUH73,40,20,120,43200,0.1,5.56816478838411,20.0,20.0,20.0,-680.6827334147354,-13.626028474420309,-605.6967256818898,12.874881545081735
9,centralizedimpprox,GUH73,20,0,120,43200,0.1,-202.34324692276283,-20.694344199931948,-203.73639722637745,20.0,-25538.677078639597,-316.42257558973506,-4059.373029137583,10.164210748131154
