Unnamed: 0,mech,topology,nb,nm,a,r,fp,f0_mean,f0_median,f0_q1,f0_q2
0,centralizedimpprox,GUH73,40,40,120,43200,0.1,-5296.8765787184375,-4842.725737844361,-6378.790631655138,-3764.787361426279
1,centralizedimpprox,GUH73,40,0,120,43200,0.1,-4400.228419131295,-4136.988434304309,-5525.7370791036665,-2857.374717351311
2,centralizedimpprox,GUH73,10,10,120,43200,0.1,-5244.389459672714,-4875.749969075841,-6354.0614383742795,-3922.304801292543
4,centralizedimpprox,GUH73,20,10,120,43200,0.1,-5339.920234837126,-5019.051444246317,-6448.972565632903,-3765.500155441987
5,centralizedimpprox,GUH73,10,0,120,43200,0.1,-5337.036685829698,-4891.5357347646495,-6464.019551110978,-3778.2096980554343
6,centralizedimpprox,GUH73,20,20,120,43200,0.1,-5509.853878155795,-5042.111218761129,-6628.444012317166,-3917.9516116592567
7,centralizedimpprox,GUH73,10,5,120,43200,0.1,-5238.001156714355,-4809.750319078405,-6080.099412788564,-3827.6864742066828
8,centralizedimpprox,GUH73,40,20,120,43200,0.1,-5131.457878760706,-4758.729008290917,-6155.722101150546,-3652.219595519302
9,centralizedimpprox,GUH73,20,0,120,43200,0.1,-5381.489965535333,-4926.18010436336,-6560.1796592423925,-3833.3610651305753
